               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,             0.07819,            0.055869,            0.039721,             0.13678,             0.83333,             0.20194,            0.056621,            0.059455,            0.069246,            0.038909,          0.00021803,          0.00021803,            0.092118
                  82,            0.078556,            0.066697,              0.0397,             0.15999,              0.7383,             0.21973,            0.058988,            0.059254,            0.069162,            0.038877,          0.00021506,          0.00021506,            0.092015
                  83,            0.079744,            0.063036,            0.040278,             0.16751,             0.77417,             0.22117,            0.058416,            0.059083,            0.069045,            0.038832,          0.00021223,          0.00021223,            0.091912
                  84,            0.090971,            0.094822,            0.040651,              0.1468,             0.52502,              0.2109,            0.057961,            0.059025,             0.06894,            0.038777,          0.00020956,          0.00020956,             0.09181
                  85,            0.069343,            0.044507,            0.039099,             0.17726,             0.83158,              0.2306,            0.060226,            0.058902,            0.068799,            0.038728,          0.00020706,          0.00020706,            0.091707
                  86,            0.081139,             0.07681,             0.03972,             0.15823,             0.83333,             0.25008,            0.067881,            0.058972,            0.068593,              0.0387,          0.00020474,          0.00020474,            0.091605
                  87,            0.070494,            0.058546,             0.03901,             0.19738,             0.60463,             0.25008,            0.067881,            0.059216,            0.068292,            0.038671,          0.00020262,          0.00020262,            0.091503
                  88,            0.077506,            0.065563,            0.040902,              0.2693,             0.45312,             0.29969,            0.080575,            0.059173,            0.068163,            0.038653,          0.00020072,          0.00020072,            0.091401
                  89,            0.084887,            0.073092,            0.040123,             0.27418,             0.47823,             0.30763,            0.081762,            0.059208,            0.067948,            0.038605,          0.00019905,          0.00019905,            0.091299
                  90,            0.081616,            0.062848,            0.041141,             0.26812,              0.4801,             0.30763,            0.081762,            0.059133,            0.067826,            0.038597,          0.00019762,          0.00019762,            0.091198
                  91,            0.078365,            0.073953,            0.040155,             0.25842,             0.66667,             0.31101,             0.08496,            0.059078,            0.067686,            0.038554,          0.00019645,          0.00019645,            0.091096
                  92,            0.084812,            0.074505,            0.040291,             0.26872,             0.48536,             0.27485,            0.081017,            0.059138,            0.067468,            0.038548,          0.00019556,          0.00019556,            0.090996
                  93,            0.075384,            0.063433,            0.040129,             0.26954,             0.48784,             0.27496,            0.078693,            0.059091,            0.067289,            0.038527,          0.00019496,          0.00019496,            0.090895
                  94,            0.077278,             0.05677,            0.039831,              0.2691,             0.49063,             0.27509,            0.079704,            0.059214,            0.067056,            0.038506,          0.00019466,          0.00019466,            0.090795
                  95,            0.067847,            0.052939,            0.039022,             0.26497,             0.48257,             0.27502,            0.079682,            0.059099,            0.066936,            0.038518,          0.00019468,          0.00019468,            0.090695
